nombre,frec,edad_media
MARIA TRINIDAD,327,45.4
DORA MARIA,321,45.84
HORTENSIA,320,47.14
DALIA,317,36.4
DALILA,317,39.46
FLORENCIA,316,44.11
MA. ISABEL,316,45.02
MARIA FELIX,315,45.98
ISELA,314,36.34
RUFINA,314,45.75
AMERICA,312,39.93
MA DOLORES,312,47.34
ANA GABRIELA,308,31.3
PAOLA,308,29.9
DORA ALICIA,304,44.04
OBDULIA,304,46.3
ARGELIA,303,39.3
BLANCA ESTHELA,303,42.84
GLADYS,301,37.28
JAQUELINE,298,36.4
NORMA PATRICIA,296,40.73
SANJUANA,296,45.64
DEYANIRA,289,37.01
GRICELDA,288,41.46
NADIA,288,33.09
EUGENIA,286,44.48
ANA CECILIA,285,35.13
ANAHI,284,29.01
MA MAGDALENA,282,46.5
MARIA MERCEDES,282,45.52
WENDY,282,32.29
MA. TERESA,280,47.73
ELVA,277,45.34
MARIA ARACELI,277,44.27
MARIA CRUZ,277,45.32
MA. DE LA LUZ,276,46.81
ALMA,275,40.32
ALMA LETICIA,274,41.99
MARLEN,274,35.15
MA. CONCEPCION,273,46.98
NORA,273,41.87
BENITA,272,44.99
ANITA,271,43.45
CLAUDIA PATRICIA,271,36.25
TERESITA,271,44.2
TEODORA,270,47.31
ZENAIDA,268,43.5
MAGALI,267,34.66
VANESSA,267,30.72
MARIA SOCORRO,266,49.07
NALLELY,266,28.25
DORA LUZ,265,44.22
FLOR DE MARIA,263,40.53
MA. DEL SOCORRO,261,46.87
AIDE,260,39.16
ANA PATRICIA,259,36.46
JUANITA,257,43.5
MARIA DEL CONSUELO,257,45.35
ARIADNA,256,33.79
ARELY,254,31.71
MARIA CECILIA,253,44.17
HERMINIA,252,46.38
ADELAIDA,251,44.2
MARIA PILAR,250,45.66
AMADA,249,45.5
MARIA ALICIA,249,48.4
OLIVA,248,45.02
LIZETH,247,30.25
MARBELLA,247,38.43
MARIA YOLANDA,246,47.55
ELIDA,245,43.43
JANETH,245,31.8
MARTHA BEATRIZ,245,44.57
ROSA ELIA,245,44.15
IRMA LETICIA,244,44.96
MARIA VERONICA,244,40.89
MARIA JOSEFINA,243,46.91
ILIANA,242,36.69
DOMINGA,239,45.44
CYNTHIA,238,32.39
IDALIA,238,39.61
MA. DOLORES,238,46.24
MAURA,238,44.24
FATIMA,237,32.83
RUBI,237,34.17
TRINIDAD,237,47.11
ISABEL CRISTINA,235,41.3
MARTA,235,47.51
CELINA,234,40.86
MARTHA LAURA,234,44.67
ALBERTA,231,45.59
PERLA,231,34.3
ELODIA,229,44.82
MARIA DE LA PAZ,229,45.02
NOELIA,229,39.59
CLAUDIA ELIZABETH,227,34.32
ROCIO DEL CARMEN,227,38.2
FLORA,226,44.97
IGNACIA,226,47.87
ITZEL,226,29.1
MA CARMEN,226,50.25
VICENTA,225,45.92
MAGALY,224,31.34
MARIA GLORIA,222,48.66
ZOILA,222,43.68
EVELYN,221,31.2
IRAIS,221,35.84
MARIA MARTHA,221,49.84
SARAI,221,31.7
MA EUGENIA,218,47.05
MARIA SILVIA,218,48.77
MARIA DEL,217,45.78
MARIA ASUNCION,216,46.15
MARTHA GUADALUPE,216,42.23
AMANDA,215,43.92
JULIANA,215,43.95
ELDA,213,43.06
MARIA JUANA,213,47.52
GUDELIA,211,45.37
YASMIN,211,34.71
MA ESTHER,209,47.68
MARIA JOSE,209,31.89
MA. MAGDALENA,207,45.99
LORENZA,206,46.95
ANEL,204,33.23
BELEN,202,35.87
REINA,202,43.95
CLAUDIA GUADALUPE,200,35.1
FLORENTINA,200,45.09
SANTA,200,45.89
ALBA,199,41.7
EUNICE,197,35.88
MARIA SUSANA,195,44.12
MARIA VIRGINIA,195,47.87
MARISA,195,40.67
KAREN,194,29.44
MARTHA ANGELICA,194,40.59
ALMA PATRICIA,193,38.42
ANA CRISTINA,192,33.9
ELBA,190,45.23
NEREYDA,190,36.43
MONSERRAT,189,29.74
ELOINA,187,43.92
EULALIA,187,45.6
MARIA FERNANDA,187,28.98
NELIDA,187,38.76
MARIA LAURA,186,45.25
VIVIANA,186,31.07
BLANCA ROSA,185,44.63
MA. LUISA,185,47.89
DORA,184,44.34
FLOR,184,38.29
LUZ ADRIANA,184,33.07
CLAUDIA ELENA,183,36.98
MARIA ESPERANZA,183,47.08
VALENTINA,183,44.13
ASUNCION,182,44.01
NICOLASA,181,47.18
IRMA YOLANDA,180,48.23
MARTHA CECILIA,180,41.27
MODESTA,179,45.38
GLADIS,178,39.03
ANA KAREN,177,23.22
LAURA ALICIA,177,41.45
HAYDEE,176,37.3
ARMIDA,175,44.25
JUSTINA,175,45.92
ARIANA,174,28.33
MARIA FRANCISCA,174,47.95
CLAUDIA VERONICA,173,35.91
MARY CARMEN,172,32.97
MA DEL REFUGIO,171,47.93
REGINA,171,41.82
LAURA ANGELICA,170,37.27
MARIA AURORA,170,44.62
MA CRISTINA,169,46.58
SABINA,169,45.77
DENISSE,168,28.75
SILVIA GUADALUPE,168,41.42
MARIA GRACIELA,167,47.52
PATRICIA GUADALUPE,166,40.68
LUCRECIA,165,45.45
ANA LUZ,164,41.26
ESTHELA,164,43.58
KENIA,164,32.82
NIDIA,164,38.46
ROSA MARGARITA,164,45.45
CITLALI,163,31.76
ERICA,163,34.1
LAURA LETICIA,163,40.13
ADRIANA GUADALUPE,162,34.53
CARINA,162,36.12
IRIS,162,36.88
BEATRIZ EUGENIA,161,46.47
MYRIAM,161,38.55
BLANCA MARGARITA,160,43.55
FANNY,160,36.53
MARIVEL,160,45.38
SANDRA GUADALUPE,160,36.05
